benchmark,run,result
ray-sphere-intersection,baseline,142
ray-sphere-intersection,op,143
ray-sphere-intersection,naive,143
quadratic,baseline,785
quadratic,op,2481
quadratic,naive,1815
primes-between,baseline,574100
primes-between,op,1756875
primes-between,naive,1461560
orders,baseline,5352
orders,op,14396
orders,naive,12489
cholesky,baseline,3761
cholesky,op,11412
cholesky,naive,8729
relative-primes,baseline,1923
relative-primes,op,3579
relative-primes,naive,2738
sieve,baseline,3482
sieve,op,10687
sieve,naive,8556
newton,baseline,217
newton,op,272
newton,naive,218
check-primes,baseline,8468
check-primes,op,21897
check-primes,naive,13769
sum-sq-diff,baseline,3038
sum-sq-diff,op,9501
sum-sq-diff,naive,6855
bubblesort,baseline,253
bubblesort,op,678
bubblesort,naive,590
mat-inv,baseline,1044
mat-inv,op,3420
mat-inv,naive,3613
loopfact,baseline,116
loopfact,op,325
loopfact,naive,229
recfact,baseline,104
recfact,op,223
recfact,naive,216
riemann,baseline,298
riemann,op,480
riemann,naive,299
adler32,baseline,6851
adler32,op,29152
adler32,naive,24677
factors,baseline,72
factors,op,279
factors,naive,209
perfect,baseline,232
perfect,op,1113
perfect,naive,977
digital-root,baseline,247
digital-root,op,767
digital-root,naive,664
adj2csr,baseline,56629
adj2csr,op,187339
adj2csr,naive,167725
up-arrow,baseline,252
up-arrow,op,959
up-arrow,naive,669
sum-divisors,baseline,159
sum-divisors,op,678
sum-divisors,naive,568
ackermann,baseline,1464231
ackermann,op,3443654
ackermann,naive,3185556
pythagorean_triple,baseline,61518
pythagorean_triple,op,308330
pythagorean_triple,naive,276075
euclid,baseline,563
euclid,op,1169
euclid,naive,883
binary-fmt,baseline,100
binary-fmt,op,300
binary-fmt,naive,238
mat-mul,baseline,1990407
mat-mul,op,9182282
mat-mul,naive,9530815
gcd,baseline,46
gcd,op,124
gcd,naive,86
pow,baseline,36
pow,op,93
pow,naive,59
armstrong,baseline,133
armstrong,op,433
armstrong,naive,363
fib,baseline,121
fib,op,410
fib,naive,297
collatz,baseline,169
collatz,op,502
collatz,naive,377
sum-bits,baseline,73
sum-bits,op,241
sum-bits,naive,217
rectangles-area-difference,baseline,14
rectangles-area-difference,op,56
rectangles-area-difference,naive,47
sqrt,baseline,322
sqrt,op,596
sqrt,naive,298
eight-queens,baseline,1006454
eight-queens,op,3254737
eight-queens,naive,2046999
fizz-buzz,baseline,3652
fizz-buzz,op,8467
fizz-buzz,naive,5350
